Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,CHI,Caleb Williams,QB,22,2024,0,0,1,12,12,17,351,562,3541,20,6,81,489,0,0,0,0,,,,USC,College Stats,WillCa03
1,2,WAS,Jayden Daniels,QB,23,2024,0,1,1,20,20,17,331,480,3568,25,9,148,891,6,0,0,0,,,,LSU,College Stats,DaniJa02
1,3,NWE,Drake Maye,QB,22,2024,0,1,1,8,8,13,225,338,2276,15,10,54,421,2,0,0,0,,,,North Carolina,College Stats,MayeDr00
1,4,ARI,Marvin Harrison Jr.,WR,22,2024,0,0,1,8,8,17,0,0,0,0,0,0,0,0,62,885,8,,,,Ohio St.,College Stats,HarrMa09
1,5,LAC,Joe Alt,OL,21,2024,0,0,1,8,8,16,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats,AltxJo01
1,6,NYG,Malik Nabers,WR,21,2024,0,1,1,9,9,15,0,1,0,0,0,5,2,0,109,1204,7,,,,LSU,College Stats,NabeMa00
1,7,TEN,JC Latham,OL,21,2024,0,0,1,7,7,17,0,0,0,0,0,0,0,0,1,0,0,,,,Alabama,College Stats,LathJC00
1,8,ATL,Michael Penix,QB,24,2024,0,0,0,2,2,5,61,105,775,3,3,7,11,1,0,0,0,,,,Washington,College Stats,PeniMi00
1,9,CHI,Rome Odunze,WR,22,2024,0,0,1,6,6,17,0,0,0,0,0,3,15,0,54,734,3,,,,Washington,College Stats,OdunRo00
1,10,MIN,J.J. McCarthy,QB,21,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,McCaJJ00
1,11,NYJ,Olumuyiwa Fashanu,OL,21,2024,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats,FashOl00
1,12,DEN,Bo Nix,QB,24,2024,0,0,1,13,13,17,376,567,3775,29,12,92,430,4,1,2,1,,,,Oregon,College Stats,NixxBo00
1,13,LVR,Brock Bowers,TE,21,2024,1,1,1,9,9,17,0,0,0,0,0,5,13,0,112,1194,5,,,,Georgia,College Stats,BoweBr01
1,14,NOR,Taliese Fuaga,OL,22,2024,0,0,1,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon St.,College Stats,FuagTa00
1,15,IND,Laiatu Latu,DL,23,2024,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,16,,4.0,UCLA,College Stats,LatuLa00
1,16,SEA,Byron Murphy,DL,21,2024,0,0,0,5,5,14,0,0,0,0,0,0,0,0,0,0,0,12,,0.5,Texas,College Stats,MurpBy01
1,17,MIN,Dallas Turner,LB,21,2024,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,12,1,3.0,Alabama,College Stats,TurnDa01
1,18,CIN,Amarius Mims,OL,21,2024,0,0,1,8,8,15,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,MimsAm00
1,19,LAR,Jared Verse,DL,23,2024,0,1,1,10,10,17,0,0,0,0,0,0,0,0,0,0,0,36,,4.5,Florida St.,College Stats,VersJa00
