Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28
5,155,SFO,Jaylon Moore,T,23,2024,0,0,0,8,8,55,0,0,0,0,0,0,0,0,0,0,0,,,,Western Michigan,College Stats
5,156,PIT,Isaiahh Loudermilk,DE,23,2024,0,0,0,6,6,58,0,0,0,0,0,0,0,0,0,0,0,38,,1.0,Wisconsin,College Stats
5,157,MIN,Ihmir Smith-Marsette,WR,22,2024,0,0,0,4,1,48,0,0,0,0,0,9,73,1,14,182,2,1,,,Iowa,College Stats
5,158,CAR,Daviyon Nixon,DT,22,2022,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,4,,0.5,Iowa,College Stats
5,159,LAC,Brenden Jaimes,OL,22,2024,0,0,0,5,5,46,0,0,0,0,0,0,0,0,0,0,0,,,,Nebraska,College Stats
5,160,BAL,Shaun Wade,CB,22,2023,0,0,0,3,,20,0,0,0,0,0,0,0,0,0,0,0,23,,,Ohio St.,College Stats
5,161,BUF,Tommy Doyle,OL,23,2022,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (OH),College Stats
5,162,KAN,Noah Gray,TE,22,2024,0,0,2,10,10,67,0,0,0,0,0,3,-2,1,103,1077,9,4,,,Duke,College Stats
5,163,WAS,Darrick Forrest,S,22,2024,0,0,1,7,7,40,0,0,0,0,0,0,0,0,0,0,0,84,4,,Cincinnati,College Stats
5,164,DEN,Jamar Johnson,DB,21,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana,College Stats
5,165,IND,Shawn Davis,DB,23,2021,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats
5,166,CAR,Keith Taylor,DB,22,2024,0,0,0,5,4,45,0,0,0,0,0,0,0,0,0,0,0,58,,,Washington,College Stats
5,167,LVR,Nate Hobbs,CB,22,2024,0,0,3,12,12,51,0,0,0,0,0,0,0,0,0,0,0,200,3,3.0,Illinois,College Stats
5,168,MIN,Zach Davidson,TE,23,2024,0,0,0,0,,2,0,0,0,0,0,0,0,0,1,5,0,,,,Central Missouri St.,
5,169,CLE,Richard LeCounte,DB,22,2023,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,2,,,Georgia,College Stats
5,170,HOU,Garret Wallow,LB,22,2023,0,0,0,4,4,35,0,0,0,0,0,0,0,0,0,0,0,26,,1.0,TCU,College Stats
5,171,BAL,Daelin Hayes,DL,23,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
5,172,SFO,Deommodore Lenoir,CB,21,2024,0,0,3,15,15,62,0,0,0,0,0,0,0,0,0,0,0,177,6,1.0,Oregon,College Stats
5,173,GNB,Tedarrell Slaton,DL,23,2024,0,0,2,17,17,68,0,0,0,0,0,0,0,0,0,0,0,67,,2.0,Florida,College Stats
5,174,LAR,Earnest Brown IV,DE,22,2024,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,5,,,Northwestern,College Stats
5,175,NYJ,Jason Pinnock,CB,22,2024,0,0,2,13,1,58,0,0,0,0,0,0,0,0,0,0,0,153,2,6.5,Pittsburgh,College Stats
5,176,TAM,K.J. Britt,LB,22,2024,0,0,1,10,10,59,0,0,0,0,0,0,0,0,0,0,0,68,,0.5,Auburn,College Stats
5,177,NWE,Cameron McGrone,LB,21,2024,0,0,0,2,,22,0,0,0,0,0,0,0,0,0,0,0,7,,,Michigan,College Stats
5,178,GNB,Shemar Jean-Charles,DB,23,2024,0,0,0,2,1,37,0,0,0,0,0,0,0,0,0,0,0,16,1,,Appalachian St.,College Stats
5,179,DAL,Simi Fehoko,WR,23,2024,0,0,0,1,0,24,0,0,0,0,0,0,0,0,10,139,1,2,,,Stanford,College Stats
5,180,SFO,Talanoa Hufanga,S,22,2024,1,1,2,19,19,49,0,0,0,0,0,0,0,0,0,0,0,149,7,2.0,USC,College Stats
5,181,KAN,Cornell Powell,WR,23,2022,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,College Stats
5,182,ATL,Adetokunbo Ogundeji,DL,22,2024,0,0,2,10,10,35,0,0,0,0,0,0,0,0,0,0,0,37,,3.0,Notre Dame,College Stats
5,183,ATL,Avery Williams,CB,23,2024,0,0,0,2,2,49,0,0,0,0,0,22,109,1,13,61,0,13,,,Boise St.,College Stats
5,184,BAL,Ben Mason,FB,22,2023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats
6,185,LAC,Nick Niemann,LB,23,2024,0,0,0,5,5,64,0,0,0,0,0,1,0,0,0,0,0,48,1,,Iowa,College Stats
6,186,NYJ,Hamsah Nasirildeen,DB,22,2022,0,0,0,2,2,19,0,0,0,0,0,0,0,0,0,0,0,5,,,Florida St.,College Stats
6,187,ATL,Frank Darby,WR,23,2023,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,29,0,,,,Arizona St.,College Stats
6,188,NWE,Joshuah Bledsoe,S,22,2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,College Stats
6,189,PHI,Marlon Tuipulotu,DL,22,2024,0,0,0,2,2,30,0,0,0,0,0,0,0,0,0,0,0,24,,3.0,USC,College Stats
6,190,CIN,Trey Hill,OL,21,2024,0,0,0,3,3,25,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats
6,191,PHI,Tarron Jackson,DE,23,2024,0,0,0,1,1,24,0,0,0,0,0,0,0,0,0,0,0,11,,1.0,Coastal Carolina,College Stats
6,192,DAL,Quinton Bohanna,DT,22,2024,0,0,1,8,6,34,0,0,0,0,0,0,0,0,0,0,0,15,,,Kentucky,College Stats
6,193,CAR,Deonte Brown,OL,23,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats
6,194,SFO,Elijah Mitchell,RB,23,2023,0,0,0,11,11,27,0,0,0,0,0,327,1523,9,28,158,1,,,,Louisiana,College Stats
6,195,HOU,Roy Lopez,DL,24,2024,0,0,3,21,12,63,0,0,0,0,0,0,0,0,0,0,0,72,,3.0,Arizona,College Stats
